text,url
www.landfood.ubc.ca/,https://www.landfood.ubc.ca/
about,https://www.landfood.ubc.ca/about/
faculty advisory board,https://www.landfood.ubc.ca/about/faculty-advisory-board/
industry advisors,https://www.landfood.ubc.ca/about/industry-advisors/
"equity, diversity, inclusion, and indigeneity",https://www.landfood.ubc.ca/equity-diversity-inclusion-indigeneity/
"future students


the faculty of land and food systems at ubc is where you’ll uncover your interests
                        and
                        get connected with the global issues that matter to you most.",https://www.landfood.ubc.ca/future/
undergraduate,https://www.landfood.ubc.ca/future/future-undergraduate/
graduate,https://www.landfood.ubc.ca/future/future-graduate/
international opportunities,https://www.landfood.ubc.ca/future/international-opportunities/
certificate programs,https://www.landfood.ubc.ca/certificate/
current students,https://www.landfood.ubc.ca/current/
"student services


undergraduate students can access academic advising, career and other support services in a welcoming and respectful environment.",https://www.landfood.ubc.ca/current/undergraduate/
current graduate,https://www.landfood.ubc.ca/current/graduate/
research,https://www.landfood.ubc.ca/research/
research centres & groups,https://www.landfood.ubc.ca/research/research-centres-groups/
directory,https://www.landfood.ubc.ca/directory/
research facilities,https://www.landfood.ubc.ca/research/research-facilities/
lfs scholar series,https://www.landfood.ubc.ca/news-and-events/lfs-scholar-series/
postdoctoral fellows,https://www.landfood.ubc.ca/research/postdoctoral-fellows/
news & events,https://www.landfood.ubc.ca/news-and-events/
grapes to glass,https://www.landfood.ubc.ca/grapes-to-glass/
reachout,https://www.landfood.ubc.ca/news-and-events/reachout/
intergenerational march – orange shirt day,https://www.landfood.ubc.ca/intergenerational-march-to-commemorate-orange-shirt-day-2024/
alumni,https://www.landfood.ubc.ca/alumni/
alumni profiles,https://www.landfood.ubc.ca/alumni/alumni-profiles/
alumni in business,https://www.landfood.ubc.ca/alumni/alumni-business/
young alumni council,https://www.landfood.ubc.ca/alumni/young-alumni-council/
lfs mentorship,https://www.landfood.ubc.ca/alumni/lfs-mentorship/
hall of fame,https://www.landfood.ubc.ca/hall-of-fame/
partner with us,https://www.landfood.ubc.ca/partner-with-us/
priority areas,https://www.landfood.ubc.ca/partner-with-us/priority-areas/
hire a student,https://www.landfood.ubc.ca/partner-with-us/hire-a-student/
contact us,https://www.landfood.ubc.ca/partner-with-us/contact-us/
engage with students,https://www.landfood.ubc.ca/partner-with-us/engage-with-students/
impact stories,https://www.landfood.ubc.ca/partner-with-us/impact-stories/
contact us,https://www.landfood.ubc.ca/contact-us/
careers,https://www.landfood.ubc.ca/contact-us/careers/
tech support,https://lc.landfood.ubc.ca/
intranet,https://my.landfood.ubc.ca/
campus living lab projects address low-carbon food and plant viruses,https://www.landfood.ubc.ca/campus-living-lab-projects-address-low-carbon-food-and-plant-viruses/
international day of women and girls in science,https://www.landfood.ubc.ca/international-day-of-women-and-girls-in-science-2026/
how canada’s front-of-pack policy relates to hospitalization,https://www.landfood.ubc.ca/when-food-labels-meet-hospital-beds-how-canadas-front-of-pack-policy-relates-to-hospitalization/
congratulations to order of canada recipient nina von keyserlingk,https://www.landfood.ubc.ca/congratulations-to-order-of-canada-recipient-nina-von-keyserlingk/
how new front-of-package nutrition labels could reshape food choices in canada,https://news.ubc.ca/2026/01/new-front-of-package-nutrition-labels-in-canada/
flooding and the b.c. farming community,https://www.landfood.ubc.ca/flooding-and-the-b-c-farming-community/
,http://www.linkedin.com/company/ubc-faculty-of-land-and-food-systems
,http://www.youtube.com/user/ubclandfood/featured
